"Edo","Nombre_Indicador","Indicador","Fecha"
"Chiapas","Empadronados",97.5,2012
"Chihuahua","Empadronados",97.4,2012
"Ciudad de México","Empadronados",99.06,2012
"Durango","Empadronados",97.56,2012
"Guanajuato","Empadronados",96.56,2012
"Guerrero","Empadronados",97.03,2012
"Hidalgo","Empadronados",97.54,2012
"Jalisco","Empadronados",97.45,2012
"México","Empadronados",98.05,2012
"Michoacán","Empadronados",96.07,2012
"Morelos","Empadronados",97.18,2012
"Nayarit","Empadronados",97.35,2012
"Nuevo León","Empadronados",98.28,2012
"Oaxaca","Empadronados",96.55,2012
"Puebla","Empadronados",97.25,2012
"Querétaro","Empadronados",97,2012
"Quintana Roo","Empadronados",98.96,2012
"San Luis Potosí","Empadronados",96.67,2012
"Sinaloa","Empadronados",96.9,2012
"Sonora","Empadronados",98.11,2012
"Tabasco","Empadronados",97.71,2012
"Tamaulipas","Empadronados",97.72,2012
"Tlaxcala","Empadronados",98.57,2012
"Veracruz","Empadronados",97.26,2012
"Yucatán","Empadronados",99.1,2012
"Zacatecas","Empadronados",96.71,2012
"Nacional","Empadronados",98.24,2014
"Aguascalientes","Empadronados",98.81,2014
"Baja California","Empadronados",97,2014
"Baja California Sur","Empadronados",98.62,2014
"Campeche","Empadronados",98.57,2014
"Coahuila","Empadronados",98.46,2014
"Colima","Empadronados",98.97,2014
"Chiapas","Empadronados",98.46,2014
"Chihuahua","Empadronados",97.9,2014
"Ciudad de México","Empadronados",99.16,2014
"Durango","Empadronados",98.22,2014
"Guanajuato","Empadronados",98.46,2014
"Guerrero","Empadronados",97.62,2014
"Hidalgo","Empadronados",98.76,2014
"Jalisco","Empadronados",97.64,2014
"México","Empadronados",98.88,2014
"Michoacán","Empadronados",96.76,2014
"Morelos","Empadronados",98.57,2014
"Nayarit","Empadronados",98.14,2014
"Nuevo León","Empadronados",98.13,2014
"Oaxaca","Empadronados",97.59,2014
"Puebla","Empadronados",97.38,2014
"Querétaro","Empadronados",99.21,2014
"Quintana Roo","Empadronados",98.72,2014
"San Luis Potosí","Empadronados",98.19,2014
"Sinaloa","Empadronados",97.94,2014
"Sonora","Empadronados",98.38,2014
"Tabasco","Empadronados",98.69,2014
"Tamaulipas","Empadronados",98.24,2014
"Tlaxcala","Empadronados",98.19,2014
"Veracruz","Empadronados",98.19,2014
"Yucatán","Empadronados",97.84,2014
"Zacatecas","Empadronados",98.06,2014
"Nacional","Empadronados",97.7,2015
"Nacional","Empadronados",97.14,2017
"Aguascalientes","Empadronados",96.83,2017
"Baja California","Empadronados",96.75,2017
"Baja California Sur","Empadronados",96.33,2017
"Campeche","Empadronados",97.18,2017
"Coahuila","Empadronados",96.9,2017
"Colima","Empadronados",96.53,2017
"Chiapas","Empadronados",97.29,2017
"Chihuahua","Empadronados",95.34,2017
"Ciudad de México","Empadronados",98,2017
"Durango","Empadronados",96.54,2017
"Guanajuato","Empadronados",97.49,2017
"Guerrero","Empadronados",97.81,2017
"Hidalgo","Empadronados",97.21,2017
"Jalisco","Empadronados",96.85,2017
"México","Empadronados",96.91,2017
"Michoacán","Empadronados",96.9,2017
"Morelos","Empadronados",97.35,2017
"Nayarit","Empadronados",97.41,2017
"Nuevo León","Empadronados",97.39,2017
"Oaxaca","Empadronados",97.03,2017
"Puebla","Empadronados",97,2017
"Querétaro","Empadronados",98.02,2017
"Quintana Roo","Empadronados",98.79,2017
"San Luis Potosí","Empadronados",97.38,2017
"Sinaloa","Empadronados",97.36,2017
"Sonora","Empadronados",96.24,2017
"Tabasco","Empadronados",98.52,2017
"Tamaulipas","Empadronados",97.9,2017
"Tlaxcala","Empadronados",98.51,2017
"Veracruz","Empadronados",96.7,2017
"Yucatán","Empadronados",97.44,2017
"Zacatecas","Empadronados",96.57,2017
"Nacional","Empadronados en el estado",92,2003
"Aguascalientes","Empadronados en el estado",93.02,2003
"Baja California","Empadronados en el estado",88.99,2003
"Baja California Sur","Empadronados en el estado",90.78,2003
"Campeche","Empadronados en el estado",92.22,2003
"Coahuila","Empadronados en el estado",91.18,2003
"Colima","Empadronados en el estado",90.5,2003
"Chiapas","Empadronados en el estado",92.23,2003
"Chihuahua","Empadronados en el estado",91.51,2003
"Ciudad de México","Empadronados en el estado",93.59,2003
"Durango","Empadronados en el estado",93.3,2003
"Guanajuato","Empadronados en el estado",94.27,2003
"Guerrero","Empadronados en el estado",91.17,2003
"Hidalgo","Empadronados en el estado",88.94,2003
"Jalisco","Empadronados en el estado",93.39,2003
"México","Empadronados en el estado",91.51,2003
"Michoacán","Empadronados en el estado",89.97,2003
"Morelos","Empadronados en el estado",92.48,2003
"Nayarit","Empadronados en el estado",90.65,2003
"Nuevo León","Empadronados en el estado",93.15,2003
"Oaxaca","Empadronados en el estado",90.25,2003
"Puebla","Empadronados en el estado",92.2,2003
"Querétaro","Empadronados en el estado",91.59,2003
"Quintana Roo","Empadronados en el estado",90.24,2003
"San Luis Potosí","Empadronados en el estado",90.57,2003
"Sinaloa","Empadronados en el estado",92.46,2003
"Sonora","Empadronados en el estado",93.39,2003
"Tabasco","Empadronados en el estado",94.49,2003
"Tamaulipas","Empadronados en el estado",90.09,2003
"Tlaxcala","Empadronados en el estado",92.9,2003
"Veracruz","Empadronados en el estado",91.35,2003
"Yucatán","Empadronados en el estado",93.85,2003
"Zacatecas","Empadronados en el estado",91.74,2003
"Nacional","Empadronados en el estado",93,2005
"Aguascalientes","Empadronados en el estado",93.29,2005
"Baja California","Empadronados en el estado",87.75,2005
"Baja California Sur","Empadronados en el estado",89.94,2005
"Campeche","Empadronados en el estado",93.83,2005
"Coahuila","Empadronados en el estado",92.62,2005
"Colima","Empadronados en el estado",90.32,2005
"Chiapas","Empadronados en el estado",94.33,2005
"Chihuahua","Empadronados en el estado",93.79,2005
"Ciudad de México","Empadronados en el estado",96.15,2005
"Durango","Empadronados en el estado",91.33,2005
"Guanajuato","Empadronados en el estado",94.92,2005
"Guerrero","Empadronados en el estado",91.89,2005
"Hidalgo","Empadronados en el estado",93.1,2005
"Jalisco","Empadronados en el estado",93.85,2005
"México","Empadronados en el estado",89.47,2005
"Michoacán","Empadronados en el estado",91.35,2005
"Morelos","Empadronados en el estado",95.2,2005
"Nayarit","Empadronados en el estado",93.55,2005
"Nuevo León","Empadronados en el estado",94.09,2005
"Oaxaca","Empadronados en el estado",93.54,2005
"Puebla","Empadronados en el estado",93.11,2005
"Querétaro","Empadronados en el estado",91.22,2005
"Quintana Roo","Empadronados en el estado",87.6,2005
"San Luis Potosí","Empadronados en el estado",92.41,2005
"Sinaloa","Empadronados en el estado",95.28,2005
"Sonora","Empadronados en el estado",91.98,2005
"Tabasco","Empadronados en el estado",97.22,2005
"Tamaulipas","Empadronados en el estado",91.66,2005
"Tlaxcala","Empadronados en el estado",96.56,2005
"Veracruz","Empadronados en el estado",92.98,2005
"Yucatán","Empadronados en el estado",94.34,2005
"Zacatecas","Empadronados en el estado",92.51,2005
"Nacional","Empadronados en el estado",92.8,2006
"Aguascalientes","Empadronados en el estado",92.75,2006
"Baja California","Empadronados en el estado",87.89,2006
"Baja California Sur","Empadronados en el estado",81.82,2006
"Campeche","Empadronados en el estado",91.3,2006
"Coahuila","Empadronados en el estado",93.77,2006
"Colima","Empadronados en el estado",91.28,2006
"Chiapas","Empadronados en el estado",93.4,2006
"Chihuahua","Empadronados en el estado",93.3,2006
"Ciudad de México","Empadronados en el estado",95.2,2006
"Durango","Empadronados en el estado",94.16,2006
"Guanajuato","Empadronados en el estado",92.85,2006
"Guerrero","Empadronados en el estado",92.42,2006
"Hidalgo","Empadronados en el estado",92.35,2006
"Jalisco","Empadronados en el estado",91.82,2006
"México","Empadronados en el estado",91.58,2006
"Michoacán","Empadronados en el estado",93.14,2006
"Morelos","Empadronados en el estado",93.38,2006
"Nayarit","Empadronados en el estado",93.18,2006
"Nuevo León","Empadronados en el estado",91.13,2006
"Oaxaca","Empadronados en el estado",95.88,2006
"Puebla","Empadronados en el estado",92.11,2006
"Querétaro","Empadronados en el estado",90.44,2006
"Quintana Roo","Empadronados en el estado",87.57,2006
"San Luis Potosí","Empadronados en el estado",93.66,2006
"Sinaloa","Empadronados en el estado",93.94,2006
"Sonora","Empadronados en el estado",92.79,2006
"Tabasco","Empadronados en el estado",96.6,2006
"Tamaulipas","Empadronados en el estado",91.75,2006
"Tlaxcala","Empadronados en el estado",91.22,2006
"Veracruz","Empadronados en el estado",95.09,2006
"Yucatán","Empadronados en el estado",91.94,2006
"Zacatecas","Empadronados en el estado",93.3,2006
"Nacional","Empadronados en el estado",93.3,2008
"Aguascalientes","Empadronados en el estado",95.72,2008
"Baja California","Empadronados en el estado",91.38,2008
"Baja California Sur","Empadronados en el estado",84.75,2008
"Campeche","Empadronados en el estado",93.33,2008
"Coahuila","Empadronados en el estado",93.33,2008
"Colima","Empadronados en el estado",90.95,2008
"Chiapas","Empadronados en el estado",92.63,2008
"Chihuahua","Empadronados en el estado",93.69,2008
"Ciudad de México","Empadronados en el estado",95.12,2008
"Durango","Empadronados en el estado",93.93,2008
"Guanajuato","Empadronados en el estado",95.57,2008
"Guerrero","Empadronados en el estado",92.77,2008
"Hidalgo","Empadronados en el estado",92.79,2008
"Jalisco","Empadronados en el estado",94.17,2008
"México","Empadronados en el estado",91.76,2008
"Michoacán","Empadronados en el estado",91.77,2008
"Morelos","Empadronados en el estado",93.51,2008
"Nayarit","Empadronados en el estado",92.79,2008
"Nuevo León","Empadronados en el estado",96.03,2008
"Oaxaca","Empadronados en el estado",90.65,2008
"Puebla","Empadronados en el estado",91.66,2008
"Querétaro","Empadronados en el estado",92.83,2008
"Quintana Roo","Empadronados en el estado",88.13,2008
"San Luis Potosí","Empadronados en el estado",93.52,2008
"Sinaloa","Empadronados en el estado",93.89,2008
"Sonora","Empadronados en el estado",92.93,2008
"Tabasco","Empadronados en el estado",95.96,2008
"Tamaulipas","Empadronados en el estado",93.97,2008
"Tlaxcala","Empadronados en el estado",94.68,2008
"Veracruz","Empadronados en el estado",93.21,2008
"Yucatán","Empadronados en el estado",95.8,2008
"Zacatecas","Empadronados en el estado",94.35,2008
"Nacional","Empadronados en el estado",92.73,2009
"Aguascalientes","Empadronados en el estado",93.47,2009
"Baja California","Empadronados en el estado",91.51,2009
"Baja California Sur","Empadronados en el estado",91.22,2009
"Campeche","Empadronados en el estado",93.32,2009
"Coahuila","Empadronados en el estado",91.3,2009
"Colima","Empadronados en el estado",92.96,2009
"Chiapas","Empadronados en el estado",92.81,2009
"Chihuahua","Empadronados en el estado",93.21,2009
"Ciudad de México","Empadronados en el estado",94.25,2009
"Durango","Empadronados en el estado",93.75,2009
"Guanajuato","Empadronados en el estado",94.88,2009
"Guerrero","Empadronados en el estado",92.87,2009
"Hidalgo","Empadronados en el estado",90.16,2009
"Jalisco","Empadronados en el estado",93,2009
"México","Empadronados en el estado",90.77,2009
"Michoacán","Empadronados en el estado",92.09,2009
"Morelos","Empadronados en el estado",93.44,2009
"Nayarit","Empadronados en el estado",88.29,2009
"Nuevo León","Empadronados en el estado",94.69,2009
"Oaxaca","Empadronados en el estado",91.8,2009
"Puebla","Empadronados en el estado",91.54,2009
"Querétaro","Empadronados en el estado",92.46,2009
"Quintana Roo","Empadronados en el estado",89.78,2009
"San Luis Potosí","Empadronados en el estado",92.77,2009
"Sinaloa","Empadronados en el estado",91.78,2009
"Sonora","Empadronados en el estado",94.45,2009
"Tabasco","Empadronados en el estado",95.24,2009
"Tamaulipas","Empadronados en el estado",92.29,2009
"Tlaxcala","Empadronados en el estado",95.72,2009
"Veracruz","Empadronados en el estado",92.97,2009
"Yucatán","Empadronados en el estado",95.21,2009
"Zacatecas","Empadronados en el estado",94.52,2009
"Nacional","Empadronados en el estado",95.05,2011
"Aguascalientes","Empadronados en el estado",96.35,2011
"Baja California","Empadronados en el estado",93.43,2011
"Baja California Sur","Empadronados en el estado",86.91,2011
"Campeche","Empadronados en el estado",96.14,2011
"Coahuila","Empadronados en el estado",96.99,2011
"Colima","Empadronados en el estado",93.35,2011
"Chiapas","Empadronados en el estado",95.28,2011
"Chihuahua","Empadronados en el estado",96.48,2011
"Ciudad de México","Empadronados en el estado",96.5,2011
"Durango","Empadronados en el estado",96.78,2011
"Guanajuato","Empadronados en el estado",95.07,2011
"Guerrero","Empadronados en el estado",94.29,2011
"Hidalgo","Empadronados en el estado",95.62,2011
"Jalisco","Empadronados en el estado",94.88,2011
"México","Empadronados en el estado",93.32,2011
"Michoacán","Empadronados en el estado",94.32,2011
"Morelos","Empadronados en el estado",93.98,2011
"Nayarit","Empadronados en el estado",92.42,2011
"Nuevo León","Empadronados en el estado",97.04,2011
"Oaxaca","Empadronados en el estado",95.25,2011
"Puebla","Empadronados en el estado",94.95,2011
"Querétaro","Empadronados en el estado",93.83,2011
"Quintana Roo","Empadronados en el estado",92.6,2011
"San Luis Potosí","Empadronados en el estado",94.69,2011
"Sinaloa","Empadronados en el estado",94.4,2011
"Sonora","Empadronados en el estado",96.23,2011
"Tabasco","Empadronados en el estado",94.44,2011
"Tamaulipas","Empadronados en el estado",95.86,2011
"Tlaxcala","Empadronados en el estado",94.86,2011
"Veracruz","Empadronados en el estado",95.42,2011
"Yucatán","Empadronados en el estado",96.91,2011
"Zacatecas","Empadronados en el estado",96.85,2011
"Nacional","Empadronados en el estado",95.1,2012
"Aguascalientes","Empadronados en el estado",96.38,2012
"Baja California","Empadronados en el estado",95.14,2012
"Baja California Sur","Empadronados en el estado",91.73,2012
"Campeche","Empadronados en el estado",96.32,2012
"Coahuila","Empadronados en el estado",95.42,2012
"Colima","Empadronados en el estado",96.11,2012
"Chiapas","Empadronados en el estado",96.08,2012
"Chihuahua","Empadronados en el estado",96.23,2012
"Ciudad de México","Empadronados en el estado",96.65,2012
"Durango","Empadronados en el estado",96.47,2012
"Guanajuato","Empadronados en el estado",94.08,2012
"Guerrero","Empadronados en el estado",94.11,2012
"Hidalgo","Empadronados en el estado",92.01,2012
"Jalisco","Empadronados en el estado",95.09,2012
"México","Empadronados en el estado",93.88,2012
"Michoacán","Empadronados en el estado",94.62,2012
"Morelos","Empadronados en el estado",94.68,2012
"Nayarit","Empadronados en el estado",93.62,2012
"Nuevo León","Empadronados en el estado",95.77,2012
"Oaxaca","Empadronados en el estado",94.94,2012
"Puebla","Empadronados en el estado",95.08,2012
"Querétaro","Empadronados en el estado",92.11,2012
"Quintana Roo","Empadronados en el estado",92.33,2012
"San Luis Potosí","Empadronados en el estado",95.39,2012
"Sinaloa","Empadronados en el estado",94.86,2012
"Sonora","Empadronados en el estado",97.14,2012
"Tabasco","Empadronados en el estado",96.48,2012
"Tamaulipas","Empadronados en el estado",96.58,2012
"Tlaxcala","Empadronados en el estado",94.53,2012
"Veracruz","Empadronados en el estado",95.12,2012
"Yucatán","Empadronados en el estado",97.31,2012
"Zacatecas","Empadronados en el estado",96.73,2012
"Nacional","Empadronados en el estado",96,2014
"Aguascalientes","Empadronados en el estado",95.99,2014
"Baja California","Empadronados en el estado",94.9,2014
"Baja California Sur","Empadronados en el estado",94.9,2014
"Campeche","Empadronados en el estado",96.8,2014
"Coahuila","Empadronados en el estado",97.55,2014
"Colima","Empadronados en el estado",95.17,2014
"Chiapas","Empadronados en el estado",97.33,2014
"Chihuahua","Empadronados en el estado",96.96,2014
"Ciudad de México","Empadronados en el estado",96.69,2014
"Durango","Empadronados en el estado",97.06,2014
"Guanajuato","Empadronados en el estado",97.06,2014
"Guerrero","Empadronados en el estado",96.92,2014
"Hidalgo","Empadronados en el estado",95.05,2014
"Jalisco","Empadronados en el estado",95.78,2014
"México","Empadronados en el estado",93.64,2014
"Michoacán","Empadronados en el estado",95.15,2014
"Morelos","Empadronados en el estado",96.28,2014
"Nayarit","Empadronados en el estado",94.81,2014
"Nuevo León","Empadronados en el estado",96.11,2014
"Oaxaca","Empadronados en el estado",95.67,2014
"Puebla","Empadronados en el estado",95.62,2014
"Querétaro","Empadronados en el estado",97.06,2014
"Quintana Roo","Empadronados en el estado",93.05,2014
"San Luis Potosí","Empadronados en el estado",96.97,2014
"Sinaloa","Empadronados en el estado",96.62,2014
"Sonora","Empadronados en el estado",96.35,2014
"Tabasco","Empadronados en el estado",96.88,2014
"Tamaulipas","Empadronados en el estado",97.09,2014
"Tlaxcala","Empadronados en el estado",97.14,2014
"Veracruz","Empadronados en el estado",96.33,2014
"Yucatán","Empadronados en el estado",97.16,2014
"Zacatecas","Empadronados en el estado",96.17,2014
"Nacional","Empadronados en el estado",95.72,2015
"Nacional","Empadronados en el estado",94.56,2017
"Aguascalientes","Empadronados en el estado",94.44,2017
"Baja California","Empadronados en el estado",93.11,2017
"Baja California Sur","Empadronados en el estado",91.61,2017
"Campeche","Empadronados en el estado",94.74,2017
"Coahuila","Empadronados en el estado",94.75,2017
"Colima","Empadronados en el estado",94.51,2017
"Chiapas","Empadronados en el estado",96.57,2017
"Chihuahua","Empadronados en el estado",93.63,2017
"Ciudad de México","Empadronados en el estado",94.63,2017
"Durango","Empadronados en el estado",94.75,2017
"Guanajuato","Empadronados en el estado",96.53,2017
"Guerrero","Empadronados en el estado",96.03,2017
"Hidalgo","Empadronados en el estado",93.97,2017
"Jalisco","Empadronados en el estado",94.37,2017
"México","Empadronados en el estado",93.09,2017
"Michoacán","Empadronados en el estado",95.79,2017
"Morelos","Empadronados en el estado",93.42,2017
"Nayarit","Empadronados en el estado",92.6,2017
"Nuevo León","Empadronados en el estado",93.94,2017
"Oaxaca","Empadronados en el estado",95.32,2017
"Puebla","Empadronados en el estado",94.45,2017
"Querétaro","Empadronados en el estado",93.59,2017
"Quintana Roo","Empadronados en el estado",86.17,2017
"San Luis Potosí","Empadronados en el estado",96.34,2017
"Sinaloa","Empadronados en el estado",96.12,2017
"Sonora","Empadronados en el estado",94.75,2017
"Tabasco","Empadronados en el estado",96.81,2017
"Tamaulipas","Empadronados en el estado",96.29,2017
"Tlaxcala","Empadronados en el estado",95.87,2017
"Veracruz","Empadronados en el estado",94.65,2017
"Yucatán","Empadronados en el estado",95.55,2017
"Zacatecas","Empadronados en el estado",94.83,2017
"Nacional","Empadronados en la sección",77.6,2003
"Aguascalientes","Empadronados en la sección",77.06,2003
"Baja California","Empadronados en la sección",65.72,2003
"Baja California Sur","Empadronados en la sección",64.89,2003
"Campeche","Empadronados en la sección",74.06,2003
"Coahuila","Empadronados en la sección",72.8,2003
"Colima","Empadronados en la sección",71.51,2003
"Chiapas","Empadronados en la sección",78.58,2003
"Chihuahua","Empadronados en la sección",70.97,2003
"Ciudad de México","Empadronados en la sección",81.09,2003
"Durango","Empadronados en la sección",77.11,2003
"Guanajuato","Empadronados en la sección",82.08,2003
"Guerrero","Empadronados en la sección",74.19,2003
"Hidalgo","Empadronados en la sección",81.35,2003
"Jalisco","Empadronados en la sección",75.58,2003
"México","Empadronados en la sección",81.14,2003
"Michoacán","Empadronados en la sección",76.39,2003
"Morelos","Empadronados en la sección",81.77,2003
"Nayarit","Empadronados en la sección",81.38,2003
"Nuevo León","Empadronados en la sección",75.44,2003
"Oaxaca","Empadronados en la sección",78.81,2003
"Puebla","Empadronados en la sección",79.65,2003
"Querétaro","Empadronados en la sección",78.81,2003
"Quintana Roo","Empadronados en la sección",71.52,2003
"San Luis Potosí","Empadronados en la sección",73.9,2003
"Sinaloa","Empadronados en la sección",73.95,2003
"Sonora","Empadronados en la sección",78.61,2003
"Tabasco","Empadronados en la sección",81.08,2003
"Tamaulipas","Empadronados en la sección",73.05,2003
